gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,MonthlyChargeGroup,ChargesRatio,ServiceCount,IsLongTermCustomer,IsAutoPay,HasInternet
Male,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,0-12,Medium,0.97539975399754,2,0,0,1
Male,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0,0-12,Low,9.723557692307692,1,0,1,0
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,0-12,Low,0.9527186761229315,1,0,0,0
Female,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0,49-60,Medium,57.555008210180624,4,1,1,1
Male,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,49-60,Medium,49.01485148514852,4,1,1,1
Female,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,25-48,Medium,27.186500888099467,3,1,1,1
Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,25-48,High,47.32585949177877,5,1,0,1
Male,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,0-12,Low,0.967948717948718,1,0,0,1
Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0,61-72,High,69.80219178082191,8,1,1,1
Female,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,13-24,Medium,16.637747336377473,3,0,0,1
Female,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0,61-72,High,69.5115562403698,6,1,1,1
Male,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0-12,High,1.8823834196891192,4,0,1,1
Female,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0,25-48,Medium,27.914370811615782,5,1,0,1
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0-12,Low,0.9528301886792453,1,0,1,0
Male,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0-12,Medium,0.9783783783783784,1,0,1,1
Female,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0,61-72,High,71.87016848364716,6,1,1,1
Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,0-12,Medium,4.482319660537482,1,0,0,1
Female,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,25-48,High,46.811345646438,2,1,1,1
Male,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,25-48,Very High,33.062412668840246,6,1,0,1
Female,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0-12,High,11.182599898836623,5,0,1,1
Male,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0,0-12,Medium,9.410484668644907,2,0,0,1
Female,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0,61-72,Medium,69.40669515669516,5,1,1,1
Female,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0,13-24,Low,19.229885057471265,1,0,0,0
Female,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0,61-72,High,60.12925170068027,7,1,1,1
Female,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0,13-24,High,12.713082901554404,6,0,0,1
Female,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0,49-60,High,45.69239766081871,3,1,0,1
Male,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,0,0-12,Medium,1.9303482587064678,2,0,0,1
Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,0-12,High,1.7654623392529087,2,0,0,1
Male,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0,49-60,High,52.232817337461306,6,1,1,1
Female,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0,61-72,Medium,65.29700690713737,5,1,1,1
Female,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0,25-48,High,42.06849315068493,4,1,0,1
Female,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,13-24,High,14.249750249750251,5,0,1,1
Female,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,25-48,Medium,24.860283687943262,5,1,1,1
Female,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0-12,High,7.756276791181873,3,0,1,1
Female,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0,49-60,High,58.75214238628874,6,1,1,1
Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,13-24,High,18.170554691550024,4,0,0,1
Female,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0,61-72,High,62.7044212617983,5,1,1,1
Male,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0,61-72,Very High,64.65372316126086,7,1,0,1
Female,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0,25-48,Low,34.46242774566474,2,1,1,0
Female,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0,61-72,Very High,72.38433179723502,6,1,1,1
Female,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0,25-48,Very High,46.375369458128084,5,1,0,1
Male,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,49-60,High,59.963696369636956,4,1,1,1
Male,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,0,61-72,Medium,68.72389791183295,3,1,1,1
Female,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0,13-24,Medium,17.276173285198556,3,0,1,1
Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,0-12,High,8.985849056603772,4,0,0,1
Female,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0,0-12,High,3.199213630406291,5,0,0,1
Male,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0,25-48,High,45.686483103879844,3,1,0,1
Female,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0,25-48,High,31.137157107231918,6,1,0,1
Female,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0,49-60,Low,44.01418439716312,1,1,1,0
Male,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0,0-12,High,10.97526283240569,3,0,0,1
Male,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0,0-12,Medium,0.98001998001998,2,0,0,1
Female,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0,49-60,Low,50.964953271028044,1,1,0,0
Male,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099.0,0,61-72,Very High,63.0461811722913,7,1,1,1
Male,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0,61-72,Low,56.41980198019802,2,1,1,0
Female,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0-12,Medium,2.7083969465648856,4,0,1,1
Female,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0,49-60,Very High,55.062780269058294,7,1,0,1
Female,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,25-48,Medium,47.464254192409534,2,1,1,1
Female,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0,0-12,Medium,8.66576819407008,3,0,0,1
Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0,25-48,High,27.871947194719475,5,1,0,1
Female,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0,25-48,Low,45.226765799256505,2,1,1,0
Female,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,0-12,High,0.9875544492843809,2,0,0,1
Female,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0,0-12,Medium,10.96702230843841,3,0,0,1
Female,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0-12,High,6.525279054497701,2,0,1,1
Female,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,25-48,Very High,41.29293893129771,6,1,1,1
Female,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0,49-60,Low,46.02127659574469,1,1,1,0
Male,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0-12,High,9.160019940179462,5,0,1,1
Female,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0,25-48,Medium,35.082343626286615,3,1,1,1
Female,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057.0,0,25-48,Low,48.822170900692846,1,1,1,0
Female,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0,25-48,Low,44.25298329355609,1,1,0,0
Male,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0,25-48,Low,29.0431654676259,1,1,0,1
Male,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,25-48,High,30.94762191450933,3,1,1,1
Male,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0,0-12,High,0.9867899603698811,2,0,0,1
Male,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0,61-72,High,67.22647058823529,7,1,0,1
Female,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,61-72,Very High,63.427041499330656,7,1,1,1
Male,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,61-72,Very High,73.19970559371933,6,1,1,1
Female,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,0-12,High,11.59912445278299,3,0,0,1
Male,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0,61-72,Medium,69.98820928518792,5,1,1,1
Male,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,0-12,Low,5.163265306122448,1,0,0,0
Male,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.0,1107.2,0,49-60,Low,50.32727272727273,1,1,1,0
Female,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,25-48,High,25.271356783919597,5,1,0,1
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,0-12,Low,0.9528301886792453,1,0,0,0
Female,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,0-12,Low,0.9511002444987775,1,0,0,0
Male,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0,25-48,High,37.55833333333333,5,1,1,1
Female,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,61-72,Medium,65.03222341568207,3,1,1,1
Male,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,61-72,Very High,68.57522522522522,7,1,1,1
Male,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0,0-12,Low,3.960474308300395,0,0,0,1
Female,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0,61-72,Very High,69.45363766048501,6,1,0,1
Female,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0,25-48,Low,29.780096308186195,1,1,0,1
Male,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0,25-48,High,41.125327739905615,4,1,0,1
Male,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0,61-72,Low,66.82598039215686,1,1,1,0
Male,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,49-60,High,53.59488491048593,5,1,0,1
Female,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0,49-60,Medium,51.60729431721798,4,1,1,1
Female,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0,25-48,High,42.67781975175391,4,1,0,1
Female,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,25-48,High,37.00838709677419,2,1,0,1
Female,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0,61-72,Medium,61.57374100719424,4,1,0,1
Male,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0,0-12,High,2.7341772151898738,4,0,0,1
Female,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,25-48,Low,35.14352574102964,1,1,1,1
Female,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,0-12,Very High,10.515061728395063,5,0,0,1
Female,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0,25-48,Low,38.57505773672055,1,1,0,0
Male,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,25-48,High,24.96055684454756,4,1,1,1
Female,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0,49-60,High,54.71676587301587,5,1,1,1
Female,0,0,0,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.7,112.75,0,0-12,Low,5.195852534562212,1,0,0,0
Male,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,0-12,High,3.0444297082228116,2,0,0,1
Female,0,1,1,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0,0-12,Medium,6.776595744680852,2,0,0,1
Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,62.9,0,0-12,Low,2.8787185354691074,1,0,0,0
Male,0,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0,25-48,High,33.65925514174541,4,1,0,1
Female,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,25-48,High,27.014547754585706,3,1,0,1
Male,0,1,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.55,1723.95,0,61-72,Low,70.22199592668025,2,1,1,0
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,19.75,0,0-12,Low,0.9518072289156626,1,0,0,0
Male,1,0,0,71,0,0,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0,61-72,Medium,69.37075718015666,4,1,0,1
Female,0,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0,13-24,High,13.981023576768258,3,0,0,1
Female,0,1,1,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,25-48,Medium,25.21224832214765,5,1,1,1
Male,0,0,0,67,1,0,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0,61-72,Medium,63.241513094083416,2,1,1,1
Male,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,0-12,Medium,0.9725651577503429,1,0,0,1
Male,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,0-12,Medium,1.7916207276736493,1,0,0,1
Female,0,0,0,43,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.7,1188.2,0,25-48,Low,44.50187265917603,2,1,1,0
Female,0,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,13-24,High,23.401315789473685,2,0,1,1
Female,0,1,1,64,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,1277.75,0,61-72,Low,60.27122641509434,1,1,0,0
Male,0,0,1,57,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.6,1170.55,0,49-60,Low,56.822815533980574,1,1,0,0
Female,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,0-12,High,0.9860041987403779,1,0,0,1
Female,1,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0,61-72,High,72.1577765300393,8,1,1,1
Female,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,0-12,High,7.812196812196811,5,0,0,1
Female,0,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0,61-72,Very High,58.51298383145517,5,1,1,1
Male,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0,61-72,High,62.0052754982415,4,1,1,1
Male,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.95,1756.2,0,61-72,Low,70.38877755511022,2,1,1,0
Female,0,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0,61-72,High,64.13493253373314,6,1,1,1
Male,0,0,0,3,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.6,61.35,0,0-12,Low,2.978155339805825,1,0,0,0
Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,0-12,Medium,0.9785637727759914,1,0,0,1
Male,0,0,1,30,1,0,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0,25-48,Medium,29.464885496183207,4,1,1,1
Male,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0,13-24,Medium,15.197163120567378,5,0,0,1
Female,0,1,1,8,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0,0-12,Medium,8.11430625449317,4,0,0,1
Male,0,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,0-12,High,6.828125,4,0,0,1
Female,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930.55,0,61-72,Very High,72.65735226752176,7,1,1,1
Male,0,1,1,62,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,86.1,5215.25,0,61-72,High,59.87657864523536,7,1,0,1
Female,0,1,1,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,113.5,0,0-12,Low,5.483091787439614,1,0,0,0
Female,0,1,1,14,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,0,13-24,High,14.075702075702074,2,0,1,1
Female,0,0,0,22,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),84.15,1821.95,0,13-24,High,21.396946564885496,3,0,1,1
Male,0,1,1,22,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.15,419.9,0,13-24,Low,19.85342789598109,1,0,0,0
Male,0,1,1,16,1,0,DSL,1,0,1,0,1,0,Two year,0,Mailed check,64.25,1024.0,0,13-24,Medium,15.693486590038313,4,0,0,1
Male,0,0,0,10,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),25.7,251.6,0,0-12,Low,9.423220973782772,2,0,1,0
Female,0,0,1,13,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,56.0,764.55,0,13-24,Medium,13.413157894736841,3,0,0,1
Female,0,1,0,20,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1592.35,1,13-24,High,19.09292565947242,3,0,0,1
Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,135.2,0,0-12,Medium,1.9123055162659122,1,0,0,1
Male,0,0,0,53,1,1,DSL,0,1,1,1,0,1,Two year,1,Bank transfer (automatic),73.9,3958.25,0,49-60,High,52.84712950600801,6,1,1,1
Female,0,1,1,11,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.6,233.9,0,0-12,Low,10.828703703703702,1,0,0,0
Male,0,1,0,69,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.9,1363.45,0,61-72,Low,65.23684210526316,1,1,0,0
Female,0,0,0,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,0-12,High,3.7969401947148813,1,0,1,1
Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),89.05,6254.45,0,61-72,High,69.4553026096613,8,1,1,1
